lat,lon,weather_main,weather_description,temp,pressure,humidity,temp_min,temp_max,pressure_sea_level,pressure_grnd_level,wind_speed,wind_deg,cloudiness,rain_1h,rain_3h,snow_1h,snow_3h,country,sunrise,sunset,city_id,city_name,uv,date_iso,dt
14.37,100.59,Clouds,few clouds,300.41,1008.0,74.0,299.82,301.48,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566603936
14.37,100.59,Clouds,few clouds,300.41,1008.0,74.0,299.82,301.48,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566605136
14.37,100.59,Clouds,few clouds,300.2,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566602136
14.37,100.59,Clouds,few clouds,300.88,1008.0,74.0,300.37,301.48,-1.0,-1.0,3.1,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566606936
14.37,100.59,Clouds,few clouds,300.41,1008.0,74.0,299.82,301.48,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566603336
14.37,100.59,Clouds,few clouds,300.41,1008.0,74.0,299.82,301.48,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566604536
18.8,98.96,Clouds,broken clouds,303.38,1011.0,70.0,301.48,305.37,-1.0,-1.0,1.5,90.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566536623
18.8,98.96,Clouds,broken clouds,303.37,1011.0,70.0,301.48,305.37,-1.0,-1.0,1.5,90.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566537823
18.8,98.96,Clouds,broken clouds,303.18,1012.0,70.0,301.48,304.82,-1.0,-1.0,1.5,140.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566535423
18.8,98.96,Clouds,broken clouds,302.99,1012.0,70.0,300.93,304.82,-1.0,-1.0,1.5,140.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566534823
18.8,98.96,Clouds,broken clouds,303.38,1011.0,70.0,301.48,305.37,-1.0,-1.0,1.5,90.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566536623
18.8,98.96,Clouds,broken clouds,301.54,1012.0,74.0,300.93,302.15,-1.0,-1.0,1.0,-1.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566534223
18.8,98.96,Clouds,broken clouds,303.37,1011.0,70.0,301.48,305.37,-1.0,-1.0,1.5,90.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566537823
18.8,98.96,Clouds,broken clouds,303.17,1011.0,70.0,301.48,304.82,-1.0,-1.0,1.5,90.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566536023
18.8,98.96,Clouds,broken clouds,300.32,1012.0,83.0,298.71,302.04,-1.0,-1.0,0.3,154.03,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566530023
18.8,98.96,Clouds,broken clouds,300.32,1012.0,83.0,298.71,302.04,-1.0,-1.0,0.3,154.03,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566530023
18.8,98.96,Clouds,broken clouds,301.41,1012.0,70.0,299.82,303.15,-1.0,-1.0,1.0,-1.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566531823
18.8,98.96,Clouds,broken clouds,301.19,1012.0,74.0,300.37,302.15,-1.0,-1.0,1.0,-1.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566533023
18.8,98.96,Clouds,broken clouds,301.19,1012.0,74.0,300.37,302.15,-1.0,-1.0,1.0,-1.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566533023
18.8,98.96,Clouds,broken clouds,300.13,1012.0,83.0,298.15,302.04,-1.0,-1.0,0.3,154.03,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566529423
18.8,98.96,Clouds,broken clouds,301.35,1012.0,70.0,299.82,303.15,-1.0,-1.0,1.0,-1.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566531223
18.8,98.96,Clouds,broken clouds,301.41,1012.0,70.0,299.82,303.15,-1.0,-1.0,1.0,-1.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566531823
14.37,100.59,Clouds,few clouds,303.05,1009.0,70.0,301.48,304.26,-1.0,-1.0,4.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566614136
14.37,100.59,Clouds,scattered clouds,303.31,1009.0,66.0,302.04,304.26,-1.0,-1.0,4.1,230.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566615336
14.37,100.59,Clouds,few clouds,302.59,1009.0,70.0,301.48,303.71,-1.0,-1.0,3.6,210.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566612936
14.37,100.59,Clouds,few clouds,302.41,1009.0,70.0,301.48,303.15,-1.0,-1.0,3.6,210.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566611736
14.37,100.59,Clouds,scattered clouds,303.31,1009.0,66.0,302.04,304.26,-1.0,-1.0,4.1,230.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566615336
14.37,100.59,Clouds,few clouds,302.96,1009.0,70.0,301.48,304.26,-1.0,-1.0,4.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566614736
14.37,100.59,Clouds,scattered clouds,303.87,1009.0,66.0,302.04,305.37,-1.0,-1.0,4.1,230.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566616536
14.37,100.59,Clouds,few clouds,302.87,1009.0,70.0,301.48,303.71,-1.0,-1.0,4.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.12,2019-08-24T12:00:00Z,1566613536
14.37,100.59,Clouds,scattered clouds,305.79,1008.0,62.0,303.71,308.15,-1.0,-1.0,4.1,280.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566627336
14.37,100.59,Clouds,scattered clouds,305.89,1007.0,62.0,304.26,308.15,-1.0,-1.0,4.6,260.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566629136
14.37,100.59,Clouds,scattered clouds,305.89,1007.0,62.0,303.71,308.15,-1.0,-1.0,4.6,260.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566627936
14.37,100.59,Clouds,scattered clouds,305.8,1008.0,62.0,303.71,307.59,-1.0,-1.0,4.1,280.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566626136
14.37,100.59,Clouds,scattered clouds,305.89,1007.0,62.0,304.26,308.15,-1.0,-1.0,4.6,260.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566629136
