"","ds","y"
"587",2019-07-15 02:30:00,0
"588",2019-07-15 02:45:00,0
"589",2019-07-15 03:00:00,0
"590",2019-07-15 03:15:00,0
"591",2019-07-15 03:30:00,0
"592",2019-07-15 03:45:00,0
"593",2019-07-15 04:00:00,0
"594",2019-07-15 04:15:00,0
"595",2019-07-15 04:30:00,0
"596",2019-07-15 04:45:00,0
"597",2019-07-15 05:00:00,0
"598",2019-07-15 05:15:00,0
"599",2019-07-15 05:30:00,0
"600",2019-07-15 05:45:00,0
"601",2019-07-15 06:00:00,0
"602",2019-07-15 06:15:00,0
"603",2019-07-15 06:30:00,0
"604",2019-07-15 06:45:00,0
"605",2019-07-15 07:00:00,0
"606",2019-07-15 07:15:00,0
"607",2019-07-15 07:30:00,0
"608",2019-07-15 07:45:00,0
"609",2019-07-15 08:00:00,0
"610",2019-07-15 08:15:00,0
"611",2019-07-15 08:30:00,0
"612",2019-07-15 08:45:00,0
"613",2019-07-15 09:00:00,0
"614",2019-07-15 09:15:00,0
"615",2019-07-15 09:30:00,0
"616",2019-07-15 09:45:00,111
"617",2019-07-15 10:00:00,172
"618",2019-07-15 10:15:00,126
"619",2019-07-15 10:30:00,263
"620",2019-07-15 10:45:00,1252
"621",2019-07-15 11:00:00,1172
"622",2019-07-15 11:15:00,668
"623",2019-07-15 11:30:00,762
"624",2019-07-15 11:45:00,1260
"625",2019-07-15 12:00:00,444
"626",2019-07-15 12:15:00,902
"627",2019-07-15 12:30:00,152
"628",2019-07-15 12:45:00,859
"629",2019-07-15 13:00:00,1044
"630",2019-07-15 13:15:00,14
"631",2019-07-15 13:30:00,769
"632",2019-07-15 13:45:00,919
"633",2019-07-15 14:00:00,1491
"634",2019-07-15 14:15:00,1205
"635",2019-07-15 14:30:00,47
"636",2019-07-15 14:45:00,0
"637",2019-07-15 15:00:00,8
"638",2019-07-15 15:15:00,0
"639",2019-07-15 15:30:00,9
"640",2019-07-15 15:45:00,0
"641",2019-07-15 16:00:00,0
"642",2019-07-15 16:15:00,0
"643",2019-07-15 16:30:00,0
"644",2019-07-15 16:45:00,0
"645",2019-07-15 17:00:00,0
"646",2019-07-15 17:15:00,9
"647",2019-07-15 17:30:00,28
"648",2019-07-15 17:45:00,96
"649",2019-07-15 18:00:00,20
"650",2019-07-15 18:15:00,380
"651",2019-07-15 18:30:00,0
"652",2019-07-15 18:45:00,387
"653",2019-07-15 19:00:00,186
"654",2019-07-15 19:15:00,0
"655",2019-07-15 19:30:00,0
"656",2019-07-15 19:45:00,4
"657",2019-07-15 20:00:00,0
"658",2019-07-15 20:15:00,127
"659",2019-07-15 20:30:00,7
"660",2019-07-15 20:45:00,0
"661",2019-07-15 21:00:00,0
"662",2019-07-15 21:15:00,0
"663",2019-07-15 21:30:00,48
"664",2019-07-15 21:45:00,0
"665",2019-07-15 22:00:00,0
"666",2019-07-15 22:15:00,0
"667",2019-07-15 22:30:00,0
"668",2019-07-15 22:45:00,0
"669",2019-07-15 23:00:00,0
"670",2019-07-15 23:15:00,0
"671",2019-07-15 23:30:00,0
"672",2019-07-15 23:45:00,0
"673",2019-07-16 00:00:00,0
"674",2019-07-16 00:15:00,0
"675",2019-07-16 00:30:00,0
